Country,Economic_Class,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Vietnam,Extreme poor,38,31.9,26.5,22.5,19.5,16.6,14.8,8.6,4.2,3.3,2.8,2.7,2.6,2.5,2.5,2.4,2.3,2.2
,Moderate poor ,31.2,31.8,31.8,30.9,30,30,29.9,20.3,12.1,10.6,9.5,8.8,8.1,7.3,6.6,5.9,5.3,4.8
,Economically vulnerable ,19.2,22.9,26.4,29,31.2,32.7,33.7,34.1,31.3,30.2,29.2,27,24.7,22.3,20.3,18.3,16.6,14.9
,Economically secure ,11,12.6,14.4,16.3,18.1,19.1,19.9,32.2,43.8,47.4,50,52.7,55.5,58.3,60.7,63.1,65.2,67
,Middle class,0.7,0.8,0.9,1.1,1.3,1.5,1.7,4.8,8.5,8.5,8.5,8.8,9.1,9.5,9.9,10.3,10.6,11
