Country,Economic_Class,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Myanmar,Extreme poor,25.6,23.4,20.8,18.6,17.1,14.7,13.3,12.9,11.4,10.3,9.1,8.4,7.4,6.4,5.9,5.1,4.6,4.3
,Moderate poor ,34,34,34.3,33.9,33.1,32.1,31.1,30.5,28.9,27.1,25.9,23.9,22.7,21.9,20.2,18.3,17.5,16.2
,Economically vulnerable ,29.2,29.7,30.5,31.7,32.7,34.1,35,35.5,36.3,38.1,38.3,39,39.7,39.3,39.7,39.4,39.3,39.4
,Economically secure ,10.2,11.8,13.2,14.6,15.8,17.5,18.8,19.2,21.4,22.4,24.4,26.4,27.7,29.5,31,33.6,34.7,36.1
,Middle class,1,1.1,1.1,1.2,1.3,1.6,1.8,1.8,2,2.1,2.2,2.3,2.4,2.9,3.3,3.6,3.9,4
