Pline,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
<1.9,518.2428272,452.8043701,399.1432033,338.0928259,330.8294724,294.7831137,278.4444452,244.7751681,212.4077519,162.0030632,138.4720488,69.52817822,57.95789237,50.0284484,44.10386762,37.99027714,33.1518976,29.26020085,26.07546912
1.9-3.2,499.9478769,498.2016205,493.9024411,488.879009,461.5822924,432.8108717,417.9736259,400.2645039,366.8956369,341.3500104,316.4154192,268.8167559,236.771373,210.4726289,189.0822225,170.5633658,154.8521271,141.0273472,128.7930851
3.2-5.5,419.2658342,449.0269924,471.941871,495.2076024,489.7569382,496.3393253,500.8149343,497.1624351,491.1969714,501.3075938,485.6736959,488.1775554,462.3578502,453.3475827,423.8203176,399.5110417,375.9908889,353.5767931,334.32541
5.5-15,327.3622193,372.1761828,414.0329223,460.5350897,499.6167159,554.3330369,582.4592075,628.1975453,686.3345248,744.1807205,786.4219273,872.336693,912.500561,937.3963211,966.0591283,979.9736845,986.2785133,987.3890875,981.0457052
>15,58.80815739,51.41774927,44.60647736,40.91238795,41.84149612,45.36056737,43.93470207,53.22726263,66.79202996,74.78552704,96.64382377,124.7677325,154.0392384,172.3819339,200.5613789,235.5885459,273.3534881,312.3734864,353.3872456
