,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Middle class,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Economically secure ,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327
Economically vulnerable ,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Moderate poor ,471,537,590,652,659,695,711,745,777,828,851,920,932,940,946,952,956,960
Extreme poor,518,453,399,338,331,295,278,245,212,162,138,70,58,50,44,38,33,29
