Country,Economic_Class,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,Extreme poor,22.8,23,24.3,21.1,27,22.3,21.4,18.3,15.9,13.4,11.7,9.4,7.9,7.2,6.5,5.5,4.6,3.9
,Moderate poor ,40.3,38.9,37.7,38.4,36.7,34.2,33.4,34.6,30.8,30.1,30.2,30.2,28.8,24.9,23.6,23,22.3,21.6
,Economically vulnerable ,26.5,27.1,26.9,28.1,25.5,28.1,29.8,30.9,31.4,31.1,32,31.7,32.7,35.3,32.7,32.9,33,33.1
,Economically secure ,9.5,10.4,10.6,11.4,10.2,14.2,14.2,14.9,20.2,22.5,22.9,24.8,26.8,28.3,32.6,33.8,35,36.1
,Middle class,0.8,0.7,0.5,1,0.7,1.2,1.2,1.3,1.8,3,3.2,3.8,3.8,4.3,4.6,4.9,5.1,5.4
