Country,Economic_Class,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ASEAN Average,Extreme poor,20.4,19.3,18.8,16.7,18.5,15.4,14.4,12.2,10.3,9,8.2,6.9,6.1,5.3,4.8,4.2,3.7,3.3
,Moderate poor ,30,29.2,28.7,28.6,27.6,26.2,25.7,24.6,21.5,20.7,20.4,20.1,19.2,17.1,16.2,15.5,15,14.4
,Economically vulnerable ,25.6,26.2,26.4,27.1,26.1,27.8,28.9,28.8,28.4,27.7,27.9,27.3,27.5,28.4,27,26.7,26.4,26.2
,Economically secure ,18.8,19.9,20.5,21.3,21.2,23.6,23.7,26.2,30.4,32.5,32.7,34.2,35.6,36.9,39.1,40,40.8,41.5
,Middle class,5.1,5.4,5.6,6.2,6.6,7,7.4,8.2,9.3,10,10.8,11.5,11.7,12.4,12.9,13.5,14.1,14.6
