Country,Economic_Class,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Thailand,Extreme poor,1.14,0.91,0.75,0.72,0.69,0.34,0.15,0.17,0.14,0.04,0.06,0.04,0.04,0.04,0.04,0.03,0.03,0.03
,Moderate poor ,9.6,8.26,7.26,6.06,4.82,3.41,2.82,2.42,1.95,1.13,1.17,0.88,0.87,0.81,0.75,0.68,0.61,0.55
,Economically vulnerable ,29.33,27.43,25.84,23.88,21.62,21.1,19.98,17.72,15.71,12.56,12.44,10.68,10.58,10.11,9.59,8.98,8.37,7.83
,Economically secure ,45.8,47.58,48.89,49.8,50.63,52.57,52.25,53.38,54.84,58.82,54.47,54.83,54.61,53.5,52.27,50.76,49.17,47.72
,Middle class,14.12,15.82,17.27,19.53,22.24,22.58,24.81,26.31,27.36,27.45,31.86,33.58,33.9,35.54,37.36,39.54,41.83,43.87
